id,editor,starring,title,writer
75,,Ashfaq Bhatti Rehan Rooshanie Ejaz Rubya Chaudhry Najma Malik Sultan Billa Haider Raza Kunwar Ali Roshan Salim Meraj Osman Khalid Butt,,
76,,Michael Craig Peter Seamus Ou2019Toole Susannah Yolande Fletcher,Country Dance,James Kennaway
77,,Amelia Warner Christopher Eccleston Ian McShane Frances Conroy Alexander Ludwig (actor),The Seeker,John Hodge Susan Cooper
78,,Bob Dylan Leon Russell Billy Preston Eric Clapton Ravi Shankar George Harrison Ringo Starr,,
79,,Richard Riehle Michelle Christine Trachtenberg Elisabeth Shue Joseph Leonard Gordon-Levitt Mary Lynn Rajskub Alexander Brady Corbet,Mysterious Skin,Scott Heim Gregg Araki
80,,Kenneth Charles Branagh Heather Graham Courtney Cox Alice Connor,Alien Love Triangle,John Hodge (screenwriter)
81,,Kathy Ann Najimy Anthony Clark (actor) Gabrielle Monique Union Peter Michael Paige Lisa Edelstein Melanie Jayne Lynskey,,Peter Michael Paige
82,,John Christopher Depp II Lance Henriksen Gary Farmer,Dead Man,James R. Jarmusch
83,,Dave Grohl Charlotte Hatherley Chris Martin Moby James Nesbitt Jonny Buckland Tim Wheeler,,Jed Shepherd
84,,,,Kaneto Shindô
85,,Tomisaburo Wakayama,Long Wolf and Cub: Baby Cart in Land of Demons Lone Wolf and Cub: Baby Cart in Land of Demons,Kazuo Koike Goseki Kojima
86,,Karen Jane Allen Jeffrey Leon Bridges,Starman,Bruce A. Evans
87,,Eva Amurri Jena Malone Patrick Raymond Fugit Macaulay Carson Culkin Mary-Louise Parker Martin Donovan Mandy Moore,Saved!,Michael Urban Brian Dannelly
88,,Jacquiline Alice Newlin Walter Davis Pidgeon Charles Murray (actor) Fred Kelsey William Phillips,,Ralph Spence
89,,Elias Koteas Keri Lynn Russell Catherine Ann Bosworth Alessandro Antine Nivola Susan Alexandra Weaver,The Girl In The Park,David Auburn
90,,Lawrence Hilton Jacobs Kathleen York Katherine Cunningham-Eves Thomas Cavanaugh,Sublime,Erik Jendresen
91,,Shalom Jaffe Marion Robert Morrison Eiko Ando,The Barbarian and the Geisha,Ellis St. Joseph Charles Grayson
92,,Yuri Yakovlev Igor Ilyinsky,,Eldar Ryazanov
93,,David Graf G.W. Bailey Leslie Easterbrook Matt McCoy (actor) Michael Winslow Bubba Smith George Jongejans,Police Academy 5: Assignment Miami Beach,Neal Israel Stephen Curwick
94,,William J. Dafoe Dana Delany Susan Abigail Tomalin,Light Sleeper,Paul Schrader
95,,Ronald Francis Perlman Thomas Kretschmann Wesley Trent Snipes Leonor Varela Palma Danny John-Jules Luke Goss Kristoffer Kristofferson,Blade Movies Blade II,Gene Colan David S. Goyer Marvin A. Wolfman
96,,Irene Miracle Robert Creel Davis Randall Rudy Quaid John Vincent Hurt,Midnight Express Golden Globe Award for Best Motion Picture - Drama,Billy Hayes (smuggler) William Hoffer William Oliver Stone
97,,José Luis López Vázquez,La venus maldita,;(story)
98,,Jennifer O'Neill Jacques Michel Andre Sarrazin Margot Kidder,,Max Ehrlich
99,,"Charles Dorety Jimmy Aubrey Bertha Regustus
Edward Boulden Walter Kendig Bud Jamison",,Tom Buckingham
100,,Stephen McHattie Sam Freed Patricia Charbonneau Steven Vincent Buscemi Boyd Gaines,Call Me,Sollace Mitchell Karyn Kay
101,,Dana Elaine Owens Joshua Michael Peck Raymond Romano John Leguizamo William Emerson Arnett Jay Leno Seann William Scott Denis Leary Debi Derryberry,Computer-animated films Ice Age: The Meltdown,Jon Vitti
102,,Karine Bach Raffaëla Anderson,Baise-moi,Virginie Despentes Coralie Trinh Thi
103,,Laila Ajith Prakash Raj Nassar(actor) Jayaram Seetha (actor) Vivek (Actor),,
104,,Randhir Kapoor Prithviraj Kapoor Raj Kapoor,,Virendra Sinha
105,,John Ericson (Actor) Vittorio Gassman Elizabeth Rosemond Taylor Carl Henry Vogt,Rhapsody,Henry Handel Richardson
106,,Lily Claudette Chauchoin Melvyn Edouard Hesselberg,She Married Her Boss,Gregory La Cava Sidney Buchman Thyra Samter Winslow
107,,George Segal Denzel Washington,Carbon Copy,Stanley Shapiro
108,,"Chia-Liang Liu
Chia Hui Liu",Shaolin Warrior,
109,,Stuart Miller Michael Lee Reynolds Gregory Snegoff Yuusaku Yara George Littlewood Mario Castañeda Ichir? Nagai Daniel Abundis,Yoju Toshi,Hideyuki Kikuchi Kisei Choo
110,,Stephen Curry Paul Mercurio Rebecca Catherine Gibney,Day of the Roses,
111,,Henry DeWitt Carey II,The Bad Lands,Harvey Gates
112,,Anna Kanakis Venantino Venantini Fred Williamson,,
113,,Coleen Gray Richard Taber Richard Conte,,Jo Eisinger
114,,,,"Peter Alton

Peter Spirer"
115,,Ryan Rodney Reynolds Kristen Jaymes Stewart Jesse Eisenberg,Adventureland,Greg Mottola
116,,"Nandamuri Bala Krishna, Simran, Anushka, Nisha Kothari",Okka Magaadu,Chinthapalli Ramana
117,,Wendy Makkena Melody Kay Andrew Keegan Jonathan Stevens Jackson Christopher Allen Lloyd Marnette Patterson,Camp Nowhere,Eliot Wald
118,,,The Burning of the Red Lotus Temple,"Zhengqiu Zheng,Shang K'ai-jan"
119,,Matthew Avery Modine Melanie Richards Griffith Michael John Douglas,Pacific Heights,Daniel Pyne
120,,Irene Marie Dunn Spangler Arlington Brugh,,Sarah Y. Mason Victor Heerman George O'Neil Lloyd C. Douglas
121,,Gary Leonard Oldman Armin Mueller-Stahl Jeremy Sisto Winfred Jacqueline Fraser-Bisset Debra Lynn Messing,,Suzette Couture Teleplay
122,,Danny Aiello Bridget Jane Fonda Martin Landau Alfredo James Pacino John Paul Cusack,City Hall,Bo Goldman Kenneth Lipper Paul Schrader Nicholas Pileggi
123,,Jerome Lester Horwitz John Grey Harry Moses Horwitz June Gittelson Larry Fine (actor) Stanley Blystone,,John Grey
124,,Maurice Ronet Marie Laforêt Alain Delon,Plein soleil,Paul Gégauff Patricia Highsmith
125,,"Joseph Kaufmann
Beverly Hope Atkinson
Frank DeKova
Terri Haven
Mary Dean Lauria",Heavy Traffic,Ralph Bakshi
126,,Billy Eugene Burrows Tyrone Benskin Jayne Heitmeyer Roddy Piper,,Mark Sevi
127,,Camilla Sparv Julie Chalene Newmeyer Leo Jacoby Eldred Gregory Peck Michel Demitri Chalhoub,Mackenna's Gold,Carl Foreman Heck Allen
128,,Kam Kang Kun Yee Lung Liu Chia Yung Lung Chung-erh Kar Wing Lau Jimmy Wang Yu Philip Kwok,Master of the Flying Guillotine,Jimmy Wang Yu
129,,,L'Homme qui vendit son u00E2me au diable,
130,,"Miriam Flynn Robert Fredrick Paulsen, III Tress MacNeille Jeffrey Glenn Bennett Robert Peter Williams Aria Curzon Anndi McAfee Kenneth Mars Thomas Dekker (actor) Susan Krebs (actress) Jeremy Steven Suarez John Ingle",The Land Before Time VIII: The Big Freeze,John Loy
131,,Swathi Joseph Vijay Chandrasekhar,,
132,,u9673u6E2Fu751F (Chan Kong Sang),Operation Condor 2: The Armour of the Gods,Edward Tang John Sheppard u9673u6E2Fu751F (Chan Kong Sang)
133,,"Tyrone Edmund Power, Jr. Freddie Bartholomew Guy Standing Edith Madeleine Carroll",Lloyd's of London,Ernest Pascal Curtis Kenyon Walter Ferris
134,,James Stewart (actor) Barbara Bel Geddes Marilyn Pauline Novak,Vertigo,Samuel Albert Tanenbaum Boileau-Narcejac
135,,,Serial (film) Universal Pictures,
136,,Cecilia Cheung u5289u798Fu69AE) Cheung Siu-Fai,Daai chek liu,Yau Nai-Hoi Au Kin Yee Yip Tin-Shing
137,,Donald Woods (actor) Kay Linaker,Road Gang,Abern Finkel Dalton Trumbo Harold Buckley
138,,Hema Malini Pran Dharam Pishorimal Anand,,K.A Narayan Vijay Anand
139,,Salman Khan Bhoomika Chawla,,Bala
140,,William Davis Garwood Jr.,,
141,,Rie Yokoyama Meiko Kaji,,Toru Shinohara Manga
142,,Kevin Dillon Peter Berg,A Midnight Clear,William Wharton Keith Gordon
143,,Dennis Scott (basketball) Jimmy Hart Joey Fatone,The Bros.,Jonathan Figg
144,,William Frank Jones Shirley Schrift Richard Pryor Diane Varsi Harold Rowe Holbrook Jr.,,Robert Thom
145,,Hal Taliaferro Sammy McKim Duncan Renaldo LeRoy Mason Julia Thayer Raymond Benard Hoot Gibson Lyman Wakefield Perrin,Serial (film) Republic Pictures,Ronald Davidson Hal G. Evarts Morgan Cox Barry Shipman Winston Miller
146,,Richard Bartlett Schroder Jonathan Vincent Voight Dorothy Faye Dunaway,The Champ,Walter Newman (screenwriter) Frances Marion
147,,David Belle Dany Malalatiana Terence Petit Tony D'Amario Cyril Raffaelli Bibi Naceri,Banlieue 13 District B13,Bibi Naceri Luc Besson
148,,Justin Whalin Jane March Horwood Candice Hillebrand William Gregory Lee,,Paul Anthony
149,,Will Smith Tchéky Karyo Theresa Randle Elizabeth Tu00E9a Pantaleoni Joseph Peter Pantoliano Martin Lawrence,Bad Boys,Michael Barrie Jim Mulholland Doug Richardson
150,,Malini Fonseka Vijaya Kumarathunge Geetha Kumarasinghe,,
151,,"Moses Gunn William December Williams, Jr. Roosevelt Grier Glynn Russell Turman Robert Dean Hooks William Millar Richard Pryor",,Aaron Spelling David Kidd
152,,Zden?k Sv?rák Petr Forman Edita Brychta,Accumulator 1,Zden?k Sv?rák Jan Sv?rák
153,,Stanley Price Lane Bradford George Meeker Aline Towne John Crawford Richard Webb,Serial (film) Republic Pictures The Invisible Monster,Ronald Davison
154,,Luke Goss Emmanuelle Vaugier,,Matthew Leutwyler
155,,Glenn Close Frances Louise McDormand Catherine u00C9lise Blanchett Elizabeth Spriggs Jennifer Ehle Julianna Luisa Margulies Pauline Collins,Paradise Road,Betty Jeffrey Martin Meader
156,,Robert Peter Williams Charles Grodin Cornelius Crane Chase Goldie Jean Studlendgehawn,,Neil Simon
157,,Chief Dan George Larry Martin Hageman Melanie Mayron Cliff De Young Arthur Hunnicutt Geraldine Fitzgerald Josh Mostel Edna Rae Gillooly Arthur William Matthew Carney,Harry and Tonto,Josh Greenfeld
158,,Rentaro Mikuni Tsutomu Yamazaki,Rikyu,Hiroshi Teshigahara Genpei Akasegawa
159,,John Franklin Candy Richard Pryor,Brewster's Millions,Herschel Weingrod Timothy Harris (screen writer) George Barr McCutcheon
160,,Seema Biswas Alok Nath Anupam Kher Shahid Kapoor Amrita Rao,Vivah,Sooraj R. Barjatya
161,,Eddie Deezen Tim Conway Michele Smith,,Tim Conway
162,,,,Nicholas Mosley
163,,Craig Sheffer Khary Payton Jason Scott Lee Diane Neal Stephen Billington,,Joel Soisson
164,,Kosti Klemelä Reino Tolvanen Heikki Savolainen,Tuntematon sotilas,Väinö Linna Juha Nevalainen
165,,"Ariadne Meyer Donovan Leitch, Jr. Ed Begley Jr. Miriam Spickler",,Janet McClean
166,,Georges Corraface Ana Belén Sylvia Munt,,Vicente Aranda Ezguerra
167,,Kati Outinen,,Timo Puustinen
168,,Urmila Matondkar Shefali Shah J.D Chakravarthy Manoj Bajpai,Satya,Anurag Kashyap Saurabh Shukla
169,,Charles Ruggles Marie Anne Boland Charles Laughton,Ruggles of Red Gap,Harlan Thompson Harry Leon Wilson Humphrey Pearson Walter DeLeon
170,,John Hoysradt John Agar,Attack of the Puppet People,George Worthing Yates
171,,Beyoncé Knowles Eddi Rue McClanahan Cuba Gooding Jr.,,Elizabeth Hunter Saladin K. Patterson
172,,Sylvia Miles Peter Riegert Amy Wright Amy Davis Irving Reizl Bozyk Rosemary Harris Jeroen Aart Krabbu00E9,Crossing Delancey,Susan Sandler
173,,Peter Barton Linda Denise Blair Vincent Van Patten,,Randy Feldman
174,,Jeff Daniels (actor) Elmore Rual Torn Michael Anthony Richards Charlize Theron,Trial and Error,"Sara Bernstein
Gregory Bernstein"
175,,Wojciech Pokora Jolanta Bohdal Wies?aw Go?as Mieczys?aw Czechowicz Maria Chwalibóg,,Stanis?aw Bareja Jacek Fedorowicz
176,,,Renegades,
177,,Wendell Reid Corey Paul Michael Kelly Ruby Catherine Stevens,,Ketti Frings
178,,"Sandra Annette Bullock Harry Connick, Jr. Mae Whitman Virginia Cathryn Rowlands",Hope Floats,Steven Rogers
179,,Alan Badel,,Sidney Carroll
180,,"Marianne Benet
Antonia Casas
Alberto Dalbu00E9s
Antonio Ferrandis",Fata Morgana,Gonzalo Suárez Vicente Aranda Ezguerra
181,,Kamal Haasan,,
182,,Shraga Herpaz<BR>Niza Shaul<BR>Shimeon Finkel<BR>Hana Maron<BR>Andy Richman<BR>Anat Azmon,,Yaky Yosha
183,,Mariel Hadley Hemingway Dub Taylor Claude Marion Akins,,Larry Jeff McMurtry
184,,Raima Dev Varma Jimmy Shergill Parikshat Sahni Amitabh Bachchan Vidya Balan Sharmila Tagore Jackie Shroff Saif Ali Khan Boman Irani Sanjay Dutt,Eklavya: The Royal Guard,Vidhu Vinod Chopra Abhijat Joshi Swanand Kirkire
185,,Ashok Kumar Neena Gupta,,Apurba Kishore Bir
186,,Everett Eugene Grunz Humphrey DeForest Bogart Gene Eliza Tierney Agnes Robertson Moorehead Leo Jacoby,The Left Hand of God,Alfred Hayes
187,,Jatin Khanna Mumtaz (actress) Mahjabeen Bano,,
188,,Anna Raymond Massey Anthony Andrews Aidan Quinn Kathrin Romany Beckinsale Arthur John Gielgud,,Bob Kellett Timothy Prager
189,,Jean Seberg Richard Henry Sellers Leo McKern,,Roger MacDougall Stanley Mann
190,,Bud Geary Louise Schultz Howard Harold Ravenscroft John Davidson (actor) Dennis Moore James Craven,Serial (film) Republic Pictures,Barney Sarecky Royal Cole Lynn Perkins Basil Dickey Joseph Poland Albert DeMond
191,,Blanche Friderici Alan Mowbray Frederick Kerr Phyllis Daniels Warren William Krech,,Lenore J. Coffee Roland Pertwee Émile Fabre James Ashmore Creelman Honoré de Balzac
192,,Shari Shattuck Gedde Watanabe Norman Rambo,,Hugh Parks
193,,Carole Mathews Susan Cummings (actress) Jil Jarmyn Emily Marie Bertelsen Beverly Lucy Fessenden Krikor Ohanian,,David Stern
194,,Billy Bob Thornton Angelina Jolie Voight Catherine u00C9lise Blanchett John Paul Cusack,,Les Charles Glen Charles Darcy Frey
195,,Milena Dravi? Relja Baši? Stevo Žigon,Rondo,Zvonimir Berkovi?
196,,Reginald Carey Harrison Alberto Lupo Diane Cilento John Charles Carter Harry Fleetwood Andrews,The Agony and the Ecstasy,Irving Stone Philip Dunne
197,,,Meeting Resistance,"Molly Bingham
Steve Connors"
198,,Vittorio Gassman Gloria Hallward Ann Robinson,,"Ivan Shane
Maxwell Shane
Ivan Tors"
199,,Whit Bissel Robert Burton Phyllis Coates Gary Conway,I Was a Teenage Frankenstein,Herman Cohen
200,,Joseph Turkel Alfred Alderdice,Cycle Psycho,John Lawrence
201,,Antonio Rudolfo Oaxaca Quinn Issur Danielovitch,,"Irving Stone (novel)
Norman Corwin"
202,,Jerome Lester Horwitz Monte Collins Harry Moses Horwitz Thomas Richard Potts Jane Hamilton Larry Fine (actor) John Lester Johnson,,
203,,Richard Michael Mayall Ewan McGregor Ricky Gervais James Hugh Calum Laurie John Marwood Cleese Timothy James Curry John Vincent Hurt Jim Broadbent,Valiant,Jordan Katz
204,,Angeline Brown Ricky Nelson Dean Martin Marion Robert Morrison Walter Andrew Brennan John Russell (actor) Ward Bond,Rio Bravo,Leigh Brackett Jules Furthman
205,,Hannah Dakota Fanning Timothy Francis Robbins Miranda Otto Justin Chatwin Thomas Cruise Mapother IV,War of the Worlds,H. G. Wells David Koepp Josh Friedman
206,,Woodrow Tracy Harrelson Gina L. Gershon Elizabeth Shue,Palmetto,James Hadley Chase E. Max Frye
207,,Verner Clarges,The Lonedale Operator,Mack Sennett
208,,William Davis Garwood Jr.,,Daniel Carson Goodman
209,,"Ruth Buzzi Robert Fredrick Paulsen, III Peter Cullen Janet Waldo Daws Butler Penny Singleton George O'Hanlon",Rockin' with Judy Jetson,Joseph Barbera William Hanna
210,,Dyanne Maurer,,Marven McGara
211,,Sandra Oh Abdel Kechiche Robin Gayle Wright,"Sorry, Haters",Jeff Stanzler
212,,Gilda Susan Radner,Gilda Live,"Mike Nichols
Anne Beatts"
213,,Konidela Siva Sankara Vara Prasad,,
214,,Anatoli Solonitsyn Irma Raush Nikolai Grinko Nikolai Burlyayev,Andrey Rublyov,Andrei Arsenyevich Tarkovsky Andrei Konchalovsky
215,,Henry DeWitt Carey II Molly Malone (actor),Bucking Broadway,George Hively
216,,"John Byner Teresa Ganzel Jeffrey Lynn Goldblum Carol Kane Virginia Elizabeth Davis Edward James Begley, Jr. Michael Anthony Richards Norman Fell Rudy De Luca Joseph Bologna Jeffrey Duncan Jones Donald Gibb",Transylvania 6-5000,Rudy De Luca
217,,William Davis Garwood Jr. Florence La Badie,,
218,,Mukul Dev Yusuf Khan Bhanurekha Ganesan Mamta Kulkarni,,
219,,Donna Cherry Drew Fuller Ali Hillis Abigail Kathleen Breslin Brett Rice Brian Manion Dennehy James Scott Bumgarner,The Ultimate Gift,Jim Stovall Cheryl McKay
220,,Gilbert Gottfried Jodi Benson Russi Taylor Kevin Schon John Marwood Cleese Tress MacNeille Wayne Allwine Bill Farmer Samuel E. Wright Corey Burton Ernie Sabella Tony Anselmo Patricia Ann Carroll Kath Soucie,,Kevin Campbell
221,,Dale Hopkins Kevin Hearst Keith Ian Carradine Kelly Bohanon,,Thomas Matthiesen
222,,Alan Finney (Actor) Graeme Blundell,Alvin Purple Rides Again,Alan Finney (actor) Tim Burstall Alan Hopgood
223,,Malcolm Smith (motorcyclist) Mert Lawwill,,
224,,Cecilia Cheung Cheng Sau Man,,Yau Nai-Hoi Wai Ka-Fai
225,,Diane Keen Christopher Biggins David Warbeck,,Tudor Gates Michael Armstrong
226,,Benjamin Christensen Walter Slezak Robert Garrison Max Auzinger Nora Gregor,Mikau00EBl,Carl Theodor Dreyer Thea von Harbou
227,,Ricky Der Tsu Kobayashi Jacques O'Mahoney Woody Strode,,Robert Day (film director) Edgar Rice Burroughs Berne Giler
228,,Rachel Ward Vernon Wells (actor),Fortress,Gabrielle Lord Everett De Roche
229,,Kristy Swanson Judd Asher Nelson,Black Hole,David Goodin
230,,Harris Yulin Bruce Paul Abbott Sy Richardson Richard Lynch Elizabeth Guttman Dean Cameron Jennifer Rubin,Bad Dreams,P.J. Pettiette Steven E. DeSouza Michael Dick Yuri Zeltser Andrew Fleming
231,,Donna Spence Willie Nelson Kristoffer Kristofferson Guy Clark Joe Ely,,
232,,Herbert Brough Falcon Marshall Genevieve Tobin Lily Claudette Chauchoin Helen Westley Walter Catlett Irving Lahrheim Constance Collier,Zaza,Zoe Akins Pierre Berton Charles Simon
233,,Andrei Arsenyevich Tarkovsky Tonino Guerra,,Alexander Sokurov
234,,Douglas Dick Andrew Vabre Devine Robert Easton (actor) Tim Durant Audie Murphy,The Red Badge of Courage,John Marcellus Huston Stephen Crane
235,,Forrest Taylor Tom Neal Hugh Prosser Tristram Coffin Judy Clark Ralph Hodges,Serial (film) Columbia Pictures,Joseph F. Poland Ray Bailey George H. Plympton Lewis Clay
236,,Penu00E9lope Cruz Su00E1nchez Martin Freeman Gwyneth Kate Paltrow Daniel Michael DeVito Jr.,The Good Night,Jake Paltrow
237,,"Arisara Wongchalee
Pierre Png",Nothing to Lose,Danny Pang
