id,actors,title
98,Jennifer O'Neill Jacques Michel Andre Sarrazin Margot Kidder,
99,"Charles Dorety Jimmy Aubrey Bertha Regustus
Edward Boulden Walter Kendig Bud Jamison",
100,Stephen McHattie Sam Freed Patricia Charbonneau Steven Vincent Buscemi Boyd Gaines,Call Me
101,Dana Elaine Owens Joshua Michael Peck Raymond Romano John Leguizamo William Emerson Arnett Jay Leno Seann William Scott Denis Leary Debi Derryberry,Computer-animated films Ice Age: The Meltdown
102,Karine Bach Raffaëla Anderson,Baise-moi
103,Laila Ajith Prakash Raj Nassar(actor) Jayaram Seetha (actor) Vivek (Actor),
104,Randhir Kapoor Prithviraj Kapoor Raj Kapoor,
105,John Ericson (Actor) Vittorio Gassman Elizabeth Rosemond Taylor Carl Henry Vogt,Rhapsody
106,Lily Claudette Chauchoin Melvyn Edouard Hesselberg,She Married Her Boss
107,George Segal Denzel Washington,Carbon Copy
108,"Chia-Liang Liu
Chia Hui Liu",Shaolin Warrior
109,Stuart Miller Michael Lee Reynolds Gregory Snegoff Yuusaku Yara George Littlewood Mario Castañeda Ichir? Nagai Daniel Abundis,Yoju Toshi
110,Stephen Curry Paul Mercurio Rebecca Catherine Gibney,Day of the Roses
111,Henry DeWitt Carey II,The Bad Lands
112,Anna Kanakis Venantino Venantini Fred Williamson,
113,Coleen Gray Richard Taber Richard Conte,
114,,
115,Ryan Rodney Reynolds Kristen Jaymes Stewart Jesse Eisenberg,Adventureland
116,"Nandamuri Bala Krishna, Simran, Anushka, Nisha Kothari",Okka Magaadu
117,Wendy Makkena Melody Kay Andrew Keegan Jonathan Stevens Jackson Christopher Allen Lloyd Marnette Patterson,Camp Nowhere
118,,The Burning of the Red Lotus Temple
119,Matthew Avery Modine Melanie Richards Griffith Michael John Douglas,Pacific Heights
120,Irene Marie Dunn Spangler Arlington Brugh,
121,Gary Leonard Oldman Armin Mueller-Stahl Jeremy Sisto Winfred Jacqueline Fraser-Bisset Debra Lynn Messing,
122,Danny Aiello Bridget Jane Fonda Martin Landau Alfredo James Pacino John Paul Cusack,City Hall
123,Jerome Lester Horwitz John Grey Harry Moses Horwitz June Gittelson Larry Fine (actor) Stanley Blystone,
124,Maurice Ronet Marie Laforêt Alain Delon,Plein soleil
125,"Joseph Kaufmann
Beverly Hope Atkinson
Frank DeKova
Terri Haven
Mary Dean Lauria",Heavy Traffic
126,Billy Eugene Burrows Tyrone Benskin Jayne Heitmeyer Roddy Piper,
127,Camilla Sparv Julie Chalene Newmeyer Leo Jacoby Eldred Gregory Peck Michel Demitri Chalhoub,Mackenna's Gold
128,Kam Kang Kun Yee Lung Liu Chia Yung Lung Chung-erh Kar Wing Lau Jimmy Wang Yu Philip Kwok,Master of the Flying Guillotine
129,,L'Homme qui vendit son u00E2me au diable
130,"Miriam Flynn Robert Fredrick Paulsen, III Tress MacNeille Jeffrey Glenn Bennett Robert Peter Williams Aria Curzon Anndi McAfee Kenneth Mars Thomas Dekker (actor) Susan Krebs (actress) Jeremy Steven Suarez John Ingle",The Land Before Time VIII: The Big Freeze
131,Swathi Joseph Vijay Chandrasekhar,
132,u9673u6E2Fu751F (Chan Kong Sang),Operation Condor 2: The Armour of the Gods
133,"Tyrone Edmund Power, Jr. Freddie Bartholomew Guy Standing Edith Madeleine Carroll",Lloyd's of London
134,James Stewart (actor) Barbara Bel Geddes Marilyn Pauline Novak,Vertigo
135,,Serial (film) Universal Pictures
136,Cecilia Cheung u5289u798Fu69AE) Cheung Siu-Fai,Daai chek liu
137,Donald Woods (actor) Kay Linaker,Road Gang
138,Hema Malini Pran Dharam Pishorimal Anand,
139,Salman Khan Bhoomika Chawla,
140,William Davis Garwood Jr.,
141,Rie Yokoyama Meiko Kaji,
142,Kevin Dillon Peter Berg,A Midnight Clear
143,Dennis Scott (basketball) Jimmy Hart Joey Fatone,The Bros.
144,William Frank Jones Shirley Schrift Richard Pryor Diane Varsi Harold Rowe Holbrook Jr.,
145,Hal Taliaferro Sammy McKim Duncan Renaldo LeRoy Mason Julia Thayer Raymond Benard Hoot Gibson Lyman Wakefield Perrin,Serial (film) Republic Pictures
146,Richard Bartlett Schroder Jonathan Vincent Voight Dorothy Faye Dunaway,The Champ
147,David Belle Dany Malalatiana Terence Petit Tony D'Amario Cyril Raffaelli Bibi Naceri,Banlieue 13 District B13
148,Justin Whalin Jane March Horwood Candice Hillebrand William Gregory Lee,
149,Will Smith Tchéky Karyo Theresa Randle Elizabeth Tu00E9a Pantaleoni Joseph Peter Pantoliano Martin Lawrence,Bad Boys
150,Malini Fonseka Vijaya Kumarathunge Geetha Kumarasinghe,
151,"Moses Gunn William December Williams, Jr. Roosevelt Grier Glynn Russell Turman Robert Dean Hooks William Millar Richard Pryor",
152,Zden?k Sv?rák Petr Forman Edita Brychta,Accumulator 1
153,Stanley Price Lane Bradford George Meeker Aline Towne John Crawford Richard Webb,Serial (film) Republic Pictures The Invisible Monster
154,Luke Goss Emmanuelle Vaugier,
155,Glenn Close Frances Louise McDormand Catherine u00C9lise Blanchett Elizabeth Spriggs Jennifer Ehle Julianna Luisa Margulies Pauline Collins,Paradise Road
156,Robert Peter Williams Charles Grodin Cornelius Crane Chase Goldie Jean Studlendgehawn,
157,Chief Dan George Larry Martin Hageman Melanie Mayron Cliff De Young Arthur Hunnicutt Geraldine Fitzgerald Josh Mostel Edna Rae Gillooly Arthur William Matthew Carney,Harry and Tonto
158,Rentaro Mikuni Tsutomu Yamazaki,Rikyu
159,John Franklin Candy Richard Pryor,Brewster's Millions
160,Seema Biswas Alok Nath Anupam Kher Shahid Kapoor Amrita Rao,Vivah
161,Eddie Deezen Tim Conway Michele Smith,
162,,
163,Craig Sheffer Khary Payton Jason Scott Lee Diane Neal Stephen Billington,
164,Kosti Klemelä Reino Tolvanen Heikki Savolainen,Tuntematon sotilas
165,"Ariadne Meyer Donovan Leitch, Jr. Ed Begley Jr. Miriam Spickler",
166,Georges Corraface Ana Belén Sylvia Munt,
167,Kati Outinen,
168,Urmila Matondkar Shefali Shah J.D Chakravarthy Manoj Bajpai,Satya
169,Charles Ruggles Marie Anne Boland Charles Laughton,Ruggles of Red Gap
170,John Hoysradt John Agar,Attack of the Puppet People
171,Beyoncé Knowles Eddi Rue McClanahan Cuba Gooding Jr.,
172,Sylvia Miles Peter Riegert Amy Wright Amy Davis Irving Reizl Bozyk Rosemary Harris Jeroen Aart Krabbu00E9,Crossing Delancey
173,Peter Barton Linda Denise Blair Vincent Van Patten,
174,Jeff Daniels (actor) Elmore Rual Torn Michael Anthony Richards Charlize Theron,Trial and Error
175,Wojciech Pokora Jolanta Bohdal Wies?aw Go?as Mieczys?aw Czechowicz Maria Chwalibóg,
176,,Renegades
177,Wendell Reid Corey Paul Michael Kelly Ruby Catherine Stevens,
178,"Sandra Annette Bullock Harry Connick, Jr. Mae Whitman Virginia Cathryn Rowlands",Hope Floats
179,Alan Badel,
180,"Marianne Benet
Antonia Casas
Alberto Dalbu00E9s
Antonio Ferrandis",Fata Morgana
181,Kamal Haasan,
182,Shraga Herpaz<BR>Niza Shaul<BR>Shimeon Finkel<BR>Hana Maron<BR>Andy Richman<BR>Anat Azmon,
183,Mariel Hadley Hemingway Dub Taylor Claude Marion Akins,
184,Raima Dev Varma Jimmy Shergill Parikshat Sahni Amitabh Bachchan Vidya Balan Sharmila Tagore Jackie Shroff Saif Ali Khan Boman Irani Sanjay Dutt,Eklavya: The Royal Guard
185,Ashok Kumar Neena Gupta,
186,Everett Eugene Grunz Humphrey DeForest Bogart Gene Eliza Tierney Agnes Robertson Moorehead Leo Jacoby,The Left Hand of God
187,Jatin Khanna Mumtaz (actress) Mahjabeen Bano,
188,Anna Raymond Massey Anthony Andrews Aidan Quinn Kathrin Romany Beckinsale Arthur John Gielgud,
189,Jean Seberg Richard Henry Sellers Leo McKern,
190,Bud Geary Louise Schultz Howard Harold Ravenscroft John Davidson (actor) Dennis Moore James Craven,Serial (film) Republic Pictures
191,Blanche Friderici Alan Mowbray Frederick Kerr Phyllis Daniels Warren William Krech,
192,Shari Shattuck Gedde Watanabe Norman Rambo,
193,Carole Mathews Susan Cummings (actress) Jil Jarmyn Emily Marie Bertelsen Beverly Lucy Fessenden Krikor Ohanian,
194,Billy Bob Thornton Angelina Jolie Voight Catherine u00C9lise Blanchett John Paul Cusack,
195,Milena Dravi? Relja Baši? Stevo Žigon,Rondo
196,Reginald Carey Harrison Alberto Lupo Diane Cilento John Charles Carter Harry Fleetwood Andrews,The Agony and the Ecstasy
197,,Meeting Resistance
198,Vittorio Gassman Gloria Hallward Ann Robinson,
199,Whit Bissel Robert Burton Phyllis Coates Gary Conway,I Was a Teenage Frankenstein
200,Joseph Turkel Alfred Alderdice,Cycle Psycho
201,Antonio Rudolfo Oaxaca Quinn Issur Danielovitch,
202,Jerome Lester Horwitz Monte Collins Harry Moses Horwitz Thomas Richard Potts Jane Hamilton Larry Fine (actor) John Lester Johnson,
203,Richard Michael Mayall Ewan McGregor Ricky Gervais James Hugh Calum Laurie John Marwood Cleese Timothy James Curry John Vincent Hurt Jim Broadbent,Valiant
204,Angeline Brown Ricky Nelson Dean Martin Marion Robert Morrison Walter Andrew Brennan John Russell (actor) Ward Bond,Rio Bravo
205,Hannah Dakota Fanning Timothy Francis Robbins Miranda Otto Justin Chatwin Thomas Cruise Mapother IV,War of the Worlds
206,Woodrow Tracy Harrelson Gina L. Gershon Elizabeth Shue,Palmetto
207,Verner Clarges,The Lonedale Operator
208,William Davis Garwood Jr.,
209,"Ruth Buzzi Robert Fredrick Paulsen, III Peter Cullen Janet Waldo Daws Butler Penny Singleton George O'Hanlon",Rockin' with Judy Jetson
210,Dyanne Maurer,
211,Sandra Oh Abdel Kechiche Robin Gayle Wright,"Sorry, Haters"
212,Gilda Susan Radner,Gilda Live
213,Konidela Siva Sankara Vara Prasad,
214,Anatoli Solonitsyn Irma Raush Nikolai Grinko Nikolai Burlyayev,Andrey Rublyov
215,Henry DeWitt Carey II Molly Malone (actor),Bucking Broadway
216,"John Byner Teresa Ganzel Jeffrey Lynn Goldblum Carol Kane Virginia Elizabeth Davis Edward James Begley, Jr. Michael Anthony Richards Norman Fell Rudy De Luca Joseph Bologna Jeffrey Duncan Jones Donald Gibb",Transylvania 6-5000
217,William Davis Garwood Jr. Florence La Badie,
218,Mukul Dev Yusuf Khan Bhanurekha Ganesan Mamta Kulkarni,
219,Donna Cherry Drew Fuller Ali Hillis Abigail Kathleen Breslin Brett Rice Brian Manion Dennehy James Scott Bumgarner,The Ultimate Gift
220,Gilbert Gottfried Jodi Benson Russi Taylor Kevin Schon John Marwood Cleese Tress MacNeille Wayne Allwine Bill Farmer Samuel E. Wright Corey Burton Ernie Sabella Tony Anselmo Patricia Ann Carroll Kath Soucie,
221,Dale Hopkins Kevin Hearst Keith Ian Carradine Kelly Bohanon,
222,Alan Finney (Actor) Graeme Blundell,Alvin Purple Rides Again
223,Malcolm Smith (motorcyclist) Mert Lawwill,
224,Cecilia Cheung Cheng Sau Man,
225,Diane Keen Christopher Biggins David Warbeck,
226,Benjamin Christensen Walter Slezak Robert Garrison Max Auzinger Nora Gregor,Mikau00EBl
227,Ricky Der Tsu Kobayashi Jacques O'Mahoney Woody Strode,
228,Rachel Ward Vernon Wells (actor),Fortress
229,Kristy Swanson Judd Asher Nelson,Black Hole
230,Harris Yulin Bruce Paul Abbott Sy Richardson Richard Lynch Elizabeth Guttman Dean Cameron Jennifer Rubin,Bad Dreams
231,Donna Spence Willie Nelson Kristoffer Kristofferson Guy Clark Joe Ely,
232,Herbert Brough Falcon Marshall Genevieve Tobin Lily Claudette Chauchoin Helen Westley Walter Catlett Irving Lahrheim Constance Collier,Zaza
233,Andrei Arsenyevich Tarkovsky Tonino Guerra,
234,Douglas Dick Andrew Vabre Devine Robert Easton (actor) Tim Durant Audie Murphy,The Red Badge of Courage
235,Forrest Taylor Tom Neal Hugh Prosser Tristram Coffin Judy Clark Ralph Hodges,Serial (film) Columbia Pictures
236,Penu00E9lope Cruz Su00E1nchez Martin Freeman Gwyneth Kate Paltrow Daniel Michael DeVito Jr.,The Good Night
237,"Arisara Wongchalee
Pierre Png",Nothing to Lose
238,Tangi Miller Warwick Davis,
239,Brad Johnson Kelly Ann McGillis,Supergator
240,Mary Jeanette Robinson Dorothy Jordan (actress) Lionel Herbert Blythe,One Man's Journey
241,"Punya Heendeniya
Henry Jayasena
Trelicia Gunawardena
Wickrema Bogoda",Kaliyugaya
242,"Yamila Greco
 Eduardo Poli
 Andrea Alfonso
 Rodrigo Bianco
 Silvia Paz
 Salvador Haidar",
243,,
244,Hümeyra ?erif Sezer Çetin Tekindor Ege Tanman Fikret Ku?kan,
245,Sarah Ward John Moulder-Brown Lynne Frederick Anthony Higgins (actor) Robin Sachs Adrienne Riccoboni,Vampire Circus
246,,The Coastline
247,Guy Bridges Kibbee Reginald Gardiner Allyn Joslyn Gladys Smith Benjamin Kubelsky Dolores Moran,
248,Mumtaz (actress) Jeetendra,
249,William Davis Garwood Jr. Charlotte Burton,
250,Wallace Fitzgerald Beery,
251,Brent Huff Isabelle Breitman Jean Rougerie Bernadette Lafont Tawny Kitaen,Gwendoline
252,"Hobart Bosworth
Betty Harte",
253,Colin James Farrell Mary Elizabeth Spacek Robin Gayle Wright Dallas Roberts,A Home at the End of the World
254,Ethel Agnes Zimmermann Donald David Dixon Ronald Ou2019Connor Norma Jeane Mortenson,
255,"Othon Bastos
 Mauru00EDcio do Valle",
256,Chaaru Haasan Nalini Murthy R. Nagesh,
257,,The Mirror
258,Aldo DaRe Jim Backus Charles Dennis Buchinsky Spencer Bonaventure Tracy Katharine Hepburn Sammy White,Pat and Mike
259,Patrick Goyette Lothaire Bluteau,Genie Award for Best Motion Picture
260,Vijaya Khote Manohar Singh Om Puri Rohini Oak Naseeruddin Shah,Party
261,"Kurt Vogel Russell Joe Flynn William Schallert Alan Hewitt Cesar Julio Romero, Jr.",The Computer Wore Tennis Shoes
262,Jeff Daniels (actor) Betty Lynn Buckley,Rain Without Thunder
263,Roscoe Arbuckle Mabel Normand,Mabel and Fatty's Married Life
264,Gustav Knuth Vilma Degischer Josef Meinrad Magda Schneider Rosemarie Magdalena Albach-Retty Karlheinz Böhm,Sissi - Die junge Kaiserin
265,Wolf Muser Frida Show Rhett Giles Nick Mancuso Brewier Welch,Contract Killers
266,Eric Lidberg Shannon Summers Sharyn Kinzie Dee Duffy Del 'Sonny' West Ross Hagen Tony Lorea,
267,David Wheeler Paul Bettany Malcolm John Taylor,Gangster No. 1
268,Thomas Hayden Church Leslie Mann Holland Taylor John Marwood Cleese Brendan Fraser,George of the Jungle
269,Imelda Mary Philomena Bernadette Staunton Scott Glenn Patrick Galen Dempsey Hilary Ann Swank,Freedom Writers
270,Julie Depardieu Jérémy Sanguinetti Sébastien Roch,
271,Akkineni Nagarjuna Rao Gadde Rajendra Prasad Raveena Tandon,Akasa Veedhilo
272,The Snow Queen (1957 film)#Voices,
273,Ronald Francis Perlman Selma Blair Beitner Doug Jones Periwinkle Kay O'Brien,
274,Billy Connolly Anna Louise Friel Brían F. O'Byrne Barry McEvoy,An Everlasting Piece
275,"Nandamuri Bala Krishna, Tabu, Shriya, Chalapathi Rao, Devayani, Jayaprakash Reddy",
276,,Mon beau-fru00E8re a tuu00E9 ma soeur
277,Sacha Noam Baron Cohen 1987,
278,"Levardis Robert Martyn Burton, Jr. Ned Thomas Beatty Todd Jones Randall Rudy Quaid Powers Boothe Colleen Dewhurst Veronica Cartwright",Guyana Tragedy: The Story of Jim Jones
279,Elina Salo Pentti Siimes Matti Ranin Leo Jokela Joel Rinne,
280,Terry Carter Carol Speed Austin Stoker William Marshall,Abby
281,Anthony Marcus Shalhoub Jason Nelson Robards Jr. Virginia Elizabeth Davis Randall Rudy Quaid Philip Bosco William James Murray,Quick Change
282,Mid-Missourri Ballers Troy McCray Kadour Ziani MyRee Bowden Mr. Biz Taking Flight Slam Nation S1Sf,
283,Gilles Maheu Lynne Adams (Canadian actress) Roger Lebel,Genie Award for Best Motion Picture
284,Stephen Glenn Martin Richard Libertini Victoria Tennant Mary Jean Tomlin Madolyn Smith,All of Me
285,Robin Tunney Christopher Eugene O'Donnell Scott Glenn William Paxton Izabella Dorota Scorupco,Vertical Limit
286,David James Arquette DMX (rapper),Never Die Alone
287,Bryce Dallas Howard Chris Evans Ann-Margret Olsson Edna Rae Gillooly,
288,Stepan Shagaida Stepan Shkurat Yevgeniya Melnikova Yelena Maksimova Sergei Stolyarov Vladimir Uralsky Boris Dobronravov,
289,Richard Boone,The Bushido Blade
290,Rafe Joseph Spall David Suchet Marc Warren Sophia Myles Stephanie Leonidas Tom Burke (actor),
291,Pichet Pumhem u0E40u0E1Eu0E0Au0E23u0E32 u0E40u0E0Au0E32u0E27u0E23u0E32u0E29u0E0Eu0E23u0E4C,
292,Sharman Joshi Shilpa Shetty Kay Kay Menon Kangana Ranaut Irfan Khan Konkona Sen Sharma Shiney Ahuja,Metro
293,Stephen Dorff Jr. Dennis William Quaid Sharon Vonne Stone,Cold Creek Manor
294,James Stewart (actor),
295,Laura Morante Cécile de France Valérie Lemercier Albert Dupontel,
296,,
297,Ingvar E. Sigurðsson Ágústa Eva Erlendsdóttir Atli Rafn Sigurðsson Björn Hlyndur Haraldsson Ólafía Hrönn Jónsdóttir,
298,Michelle Williams (actor) Michael Showalter Elizabeth Maresal Mitchell,The Baxter
299,Caroline Langrishe Therese Liotard Eva Maria Mbinere Vadim Glowna Rosemarie Magdalena Albach-Retty William Russel Max Carl Adolf von Sydow Harry Dean Stanton Harvey Keitel Bernhard Wicki,
300,Laura Linney Lucinda Jenney Will Patton Debra Lynn Messing Bill Laing Richard Tiffany Gere Alan Arthur Bates,The Mothman Prophecies
301,Wojciech Pszoniak Ewa Dalkowska,Korczak
302,,Dirty Hands
303,Sean Patrick Duke Michael Robert Deluise Megan Marie Ward Robin Tunney Brendan Fraser Paul Montgomery Shore,Encino Man
304,Kurt Raab El Hedi ben Salem Peter Chatel Rainer Werner Fassbinder Karlheinz Böhm,Faustrecht der Freiheit
305,D. J. Williams Marjorie Taylor Graham Soutten Eric Harrison Portman,The Crimes of Stephen Hawke
306,"Petra Nielsen, Grete Havnesku00F6ld, Jonas Karlstru00F6m & Emma u00C5berg",Frostbiten
307,Peter Riegert Robert Martin Culp Diane Lane Robby Benson Richard Windmark,National Lampoon Goes the the Movies
308,William Davis Garwood Jr.,
309,Phylbert Angellie Ranollo Fagestrom John Lloyd Cruz Heart Evangelista John Prats,
310,Leslie Townes Hope Lucille Du00E9siru00E9e Ball,The Facts of Life
311,Roger Meddows-Taylor Paul Rodgers Brian May,
312,Bruce Jones,Raining Stones Jury Prize (Cannes Film Festival)
313,Cone McCaslin Steve Jocz Deryck Whibley Dave Baksh,
314,Henry Jaynes Fonda Sophia Kosow,You Only Live Once
315,Eduardo Noriega Eric Caravaca Nathalie Richard Leny Bueno Paz Campos Trigo Agathe Dronne Julie Gayet,
316,Theodor Friedrich Emil Janenz,
317,John Stephen Goodman William Jacob Crystal,
318,Kalyan Ram Sindu Tolani Ashish Vidyarthi,Athanokkade
